,0,1,2,3,4,5,6,7,8,9,10,11,12,13,14,15,16,17,18,19,20,21,22,23,24,25,26,27,28,29
0,1e-05,0.0,4e-05,1e-05,4e-05,2e-05,3e-05,2e-05,3e-05,2e-05,1e-05,0.0,1e-05,1e-05,0.0,4e-05,4e-05,3e-05,2e-05,1e-05,2e-05,3e-05,3e-05,3e-05,1e-05,1e-05,0.0,2e-05,1e-05,4e-05
0,4e-05,1e-05,3e-05,2e-05,2e-05,2e-05,1e-05,3e-05,1e-05,3e-05,3e-05,3e-05,4e-05,3e-05,3e-05,3e-05,0.0,2e-05,3e-05,3e-05,3e-05,4e-05,2e-05,4e-05,0.0,4e-05,3e-05,1e-05,2e-05,4e-05
0,1e-05,1e-05,2e-05,4e-05,3e-05,3e-05,3e-05,4e-05,0.0,4e-05,4e-05,2e-05,2e-05,3e-05,1e-05,0.0,4e-05,2e-05,3e-05,1e-05,3e-05,0.0,2e-05,2e-05,2e-05,0.0,1e-05,1e-05,4e-05,2e-05
0,3e-05,2e-05,1e-05,2e-05,4e-05,2e-05,4e-05,4e-05,4e-05,1e-05,1e-05,4e-05,4e-05,4e-05,1e-05,1e-05,3e-05,4e-05,2e-05,4e-05,0.0,3e-05,4e-05,1e-05,3e-05,3e-05,3e-05,2e-05,1e-05,2e-05
0,0.0,0.0,0.0,1e-05,1e-05,4e-05,0.0,0.0,2e-05,0.0,1e-05,1e-05,2e-05,4e-05,1e-05,2e-05,4e-05,2e-05,2e-05,3e-05,0.0,4e-05,0.0,1e-05,2e-05,1e-05,4e-05,4e-05,0.0,0.0
0,2e-05,3e-05,4e-05,3e-05,2e-05,4e-05,3e-05,4e-05,3e-05,2e-05,0.0,1e-05,3e-05,4e-05,1e-05,3e-05,0.0,2e-05,3e-05,0.0,3e-05,4e-05,1e-05,3e-05,1e-05,4e-05,2e-05,0.0,4e-05,2e-05
1,0.00067,0.00136,0.00068,0.00081,0.00242,0.00218,0.00155,0.00126,0.00241,0.00228,0.00045,0.00283,0.00378,0.00136,0.00299,0.00153,0.00247,0.00077,0.00112,0.00206,0.00362,0.00358,0.00052,0.00413,0.00377,0.00237,0.00014,0.0025,0.00094,0.00427
1,1e-05,4e-05,0.0,2e-05,1e-05,2e-05,1e-05,0.0,2e-05,2e-05,3e-05,2e-05,1e-05,3e-05,0.0,0.0,4e-05,1e-05,1e-05,2e-05,4e-05,2e-05,4e-05,2e-05,4e-05,1e-05,2e-05,2e-05,2e-05,3e-05
1,0.00358,0.00192,0.00617,0.00463,0.00342,0.00422,0.00752,0.00296,0.00613,0.00526,0.0054,0.00618,0.00357,0.00255,0.00123,0.00235,0.00156,0.00392,0.00728,0.00256,0.00301,0.00196,0.00455,0.00271,0.00525,0.00294,0.00313,0.00387,0.00324,0.00216
0,1e-05,2e-05,2e-05,4e-05,4e-05,4e-05,1e-05,2e-05,1e-05,2e-05,4e-05,4e-05,1e-05,0.0,3e-05,2e-05,1e-05,2e-05,4e-05,2e-05,2e-05,4e-05,3e-05,3e-05,2e-05,4e-05,0.0,2e-05,3e-05,0.0
1,0.0023,0.00046,0.00212,0.00027,0.00181,0.00335,0.00208,0.00046,0.00188,0.00239,3e-05,0.00137,0.0017,0.00222,0.00115,0.00149,0.00075,0.00169,0.00092,0.00062,0.00187,0.00119,0.00251,0.00174,0.00203,0.00151,0.00154,0.00234,0.00039,0.00262
0,2e-05,2e-05,1e-05,1e-05,3e-05,2e-05,4e-05,1e-05,2e-05,4e-05,4e-05,2e-05,3e-05,2e-05,1e-05,1e-05,4e-05,2e-05,4e-05,1e-05,2e-05,1e-05,2e-05,3e-05,3e-05,0.0,2e-05,3e-05,4e-05,4e-05
0,1e-05,4e-05,1e-05,4e-05,2e-05,0.0,3e-05,2e-05,4e-05,1e-05,3e-05,2e-05,3e-05,1e-05,4e-05,3e-05,3e-05,2e-05,1e-05,1e-05,3e-05,4e-05,0.0,1e-05,1e-05,4e-05,1e-05,1e-05,1e-05,3e-05
1,0.00024,0.00027,0.00025,0.0,0.00025,4e-05,0.00052,0.00028,0.00025,4e-05,0.00052,1e-05,0.0005,4e-05,0.00023,1e-05,0.00027,2e-05,0.00052,0.00029,0.00049,3e-05,0.00026,0.00026,0.00048,0.00025,0.00024,0.00029,0.00026,0.00025
1,0.00015,0.00025,3e-05,0.00024,0.00017,8e-05,0.00017,0.00022,1e-05,0.0001,3e-05,0.00024,3e-05,8e-05,2e-05,0.00024,2e-05,0.00011,0.00014,8e-05,2e-05,0.00022,0.00016,8e-05,0.00016,0.00026,0.00017,0.00025,0.00016,0.00025
0,2e-05,3e-05,3e-05,4e-05,2e-05,2e-05,0.0,2e-05,4e-05,3e-05,1e-05,2e-05,4e-05,1e-05,2e-05,2e-05,3e-05,1e-05,1e-05,4e-05,4e-05,4e-05,2e-05,4e-05,1e-05,2e-05,0.0,2e-05,1e-05,2e-05
0,4e-05,2e-05,1e-05,1e-05,1e-05,4e-05,3e-05,4e-05,1e-05,3e-05,3e-05,3e-05,1e-05,3e-05,2e-05,3e-05,4e-05,1e-05,3e-05,2e-05,3e-05,0.0,3e-05,1e-05,3e-05,2e-05,4e-05,0.0,4e-05,0.0
1,4e-05,2e-05,2e-05,0.0,3e-05,3e-05,4e-05,0.0,4e-05,1e-05,3e-05,2e-05,2e-05,2e-05,1e-05,1e-05,2e-05,3e-05,3e-05,1e-05,2e-05,1e-05,1e-05,4e-05,3e-05,2e-05,1e-05,2e-05,0.0,3e-05
1,0.00303,0.00153,0.00497,0.00241,0.00206,0.00225,0.00523,0.00104,0.00259,0.00426,0.00268,0.00366,0.00269,0.00189,0.00086,0.00274,0.00171,0.00309,0.00272,0.0014,0.00076,0.00088,0.00239,0.00141,0.00277,0.00186,0.00164,0.00348,0.00087,0.00154
0,1e-05,1e-05,4e-05,4e-05,2e-05,2e-05,2e-05,4e-05,4e-05,1e-05,2e-05,3e-05,0.0,1e-05,1e-05,3e-05,3e-05,3e-05,0.0,3e-05,1e-05,3e-05,4e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,4e-05
1,0.00019,0.00045,0.00022,0.00025,0.00017,0.00031,0.00019,0.00046,0.00021,7e-05,3e-05,0.00047,2e-05,0.0001,0.00023,0.00027,0.00022,0.0003,0.0002,8e-05,0.00022,0.00025,0.00038,0.00032,0.00038,0.00026,0.00017,0.00044,0.00037,0.00044
1,0.00017,0.00025,1e-05,0.00025,0.00016,0.0001,0.00018,0.00027,1e-05,7e-05,2e-05,0.00026,3e-05,0.0001,3e-05,0.00026,1e-05,0.00011,0.00017,7e-05,3e-05,0.00026,0.00019,0.0001,0.00017,0.00024,0.00016,0.00025,0.00018,0.00026
0,1e-05,4e-05,3e-05,1e-05,1e-05,4e-05,2e-05,4e-05,2e-05,0.0,2e-05,4e-05,1e-05,2e-05,3e-05,3e-05,2e-05,4e-05,4e-05,3e-05,4e-05,3e-05,3e-05,2e-05,3e-05,0.0,1e-05,2e-05,0.0,1e-05
0,1e-05,1e-05,3e-05,2e-05,3e-05,4e-05,1e-05,0.0,3e-05,4e-05,2e-05,4e-05,3e-05,2e-05,3e-05,0.0,3e-05,3e-05,1e-05,2e-05,2e-05,4e-05,1e-05,0.0,2e-05,4e-05,3e-05,4e-05,1e-05,3e-05
1,0.00015,0.0,0.00013,4e-05,0.00013,4e-05,0.00016,3e-05,0.00013,2e-05,0.00013,4e-05,0.00014,2e-05,0.00012,3e-05,0.00015,2e-05,0.00016,3e-05,0.00014,2e-05,0.00013,2e-05,0.00013,1e-05,0.00014,0.0,0.00015,0.0
1,2e-05,0.0,1e-05,1e-05,1e-05,3e-05,0.0,4e-05,3e-05,3e-05,1e-05,3e-05,3e-05,2e-05,3e-05,0.0,3e-05,1e-05,4e-05,3e-05,1e-05,0.0,3e-05,4e-05,3e-05,1e-05,3e-05,2e-05,1e-05,4e-05
0,1e-05,1e-05,3e-05,1e-05,0.0,2e-05,2e-05,3e-05,4e-05,2e-05,2e-05,4e-05,4e-05,1e-05,1e-05,2e-05,1e-05,4e-05,4e-05,2e-05,4e-05,3e-05,2e-05,4e-05,2e-05,1e-05,0.0,3e-05,3e-05,3e-05
1,4e-05,2e-05,2e-05,3e-05,2e-05,2e-05,2e-05,2e-05,0.0,0.0,0.0,0.0,2e-05,3e-05,0.0,2e-05,4e-05,3e-05,0.0,1e-05,2e-05,0.0,3e-05,0.0,3e-05,1e-05,2e-05,0.0,2e-05,1e-05
0,4e-05,2e-05,3e-05,1e-05,3e-05,4e-05,2e-05,0.0,3e-05,4e-05,4e-05,3e-05,3e-05,3e-05,4e-05,2e-05,0.0,2e-05,1e-05,1e-05,4e-05,2e-05,4e-05,3e-05,1e-05,2e-05,2e-05,2e-05,4e-05,4e-05
1,3e-05,3e-05,4e-05,0.0,4e-05,1e-05,4e-05,4e-05,1e-05,0.0,1e-05,2e-05,2e-05,2e-05,2e-05,0.0,1e-05,4e-05,0.0,4e-05,3e-05,1e-05,4e-05,4e-05,2e-05,4e-05,4e-05,0.0,1e-05,1e-05
1,0.00542,0.00178,0.00584,0.00064,0.00224,0.00491,0.00615,0.00146,0.00291,0.006,0.00171,0.00303,0.00585,0.00449,0.00156,0.00401,0.00199,0.00561,0.00163,0.00142,0.00381,0.00285,0.00451,0.00494,0.00644,0.00533,0.00557,0.00463,0.00084,0.00337
1,0.00467,0.00217,0.00728,0.00234,0.00441,0.0068,0.00715,0.00257,0.00662,0.00574,0.00235,0.00497,0.00574,0.00523,0.00325,0.00428,0.00356,0.00263,0.00424,0.00193,0.00391,0.00379,0.00608,0.00456,0.00614,0.00385,0.00276,0.00448,0.00065,0.00427
1,0.0,4e-05,2e-05,1e-05,4e-05,4e-05,0.0,3e-05,4e-05,1e-05,3e-05,2e-05,1e-05,3e-05,0.0,2e-05,3e-05,2e-05,2e-05,2e-05,3e-05,1e-05,3e-05,0.0,1e-05,3e-05,0.0,3e-05,4e-05,0.0
1,3e-05,2e-05,0.0,2e-05,1e-05,2e-05,1e-05,2e-05,2e-05,4e-05,0.0,3e-05,3e-05,1e-05,3e-05,1e-05,1e-05,1e-05,3e-05,1e-05,2e-05,3e-05,2e-05,2e-05,0.0,3e-05,1e-05,4e-05,1e-05,2e-05
0,2e-05,2e-05,3e-05,2e-05,4e-05,3e-05,1e-05,1e-05,2e-05,1e-05,3e-05,1e-05,2e-05,4e-05,2e-05,0.0,1e-05,1e-05,2e-05,2e-05,1e-05,1e-05,4e-05,4e-05,0.0,4e-05,1e-05,1e-05,1e-05,1e-05
0,1e-05,2e-05,1e-05,2e-05,4e-05,0.0,1e-05,1e-05,2e-05,1e-05,0.0,3e-05,1e-05,1e-05,1e-05,4e-05,4e-05,3e-05,4e-05,0.0,2e-05,2e-05,4e-05,3e-05,3e-05,4e-05,4e-05,4e-05,1e-05,1e-05
0,1e-05,2e-05,3e-05,0.0,1e-05,2e-05,3e-05,3e-05,2e-05,4e-05,2e-05,3e-05,1e-05,3e-05,2e-05,2e-05,4e-05,0.0,2e-05,2e-05,4e-05,3e-05,4e-05,1e-05,2e-05,1e-05,3e-05,2e-05,1e-05,2e-05
0,4e-05,1e-05,3e-05,4e-05,1e-05,2e-05,3e-05,1e-05,1e-05,1e-05,2e-05,2e-05,0.0,2e-05,3e-05,4e-05,4e-05,3e-05,3e-05,1e-05,2e-05,2e-05,0.0,1e-05,2e-05,2e-05,3e-05,2e-05,3e-05,2e-05
1,4e-05,2e-05,2e-05,3e-05,4e-05,2e-05,3e-05,2e-05,1e-05,2e-05,2e-05,1e-05,2e-05,2e-05,4e-05,3e-05,1e-05,3e-05,1e-05,0.0,2e-05,0.0,1e-05,2e-05,2e-05,0.0,3e-05,3e-05,4e-05,2e-05
1,0.00052,0.00087,2e-05,0.00024,0.00017,8e-05,0.0008,0.00047,0.00041,0.00045,0.00028,0.00061,0.00027,8e-05,0.00039,0.00062,0.00039,0.00048,0.00077,0.00034,0.00027,0.00025,0.00016,0.00034,0.00043,0.00047,0.00015,0.00088,0.00017,0.00049
1,2e-05,1e-05,1e-05,4e-05,0.0,2e-05,2e-05,1e-05,4e-05,3e-05,2e-05,1e-05,4e-05,1e-05,2e-05,4e-05,2e-05,3e-05,0.0,1e-05,1e-05,2e-05,2e-05,0.0,2e-05,4e-05,0.0,0.0,2e-05,1e-05
1,0.00378,0.00099,0.00486,0.00116,0.00303,0.00499,0.00771,0.00213,0.00388,0.00592,0.00178,0.00408,0.00438,0.00225,0.00184,0.00409,0.00364,0.00384,0.00266,0.00305,0.00331,0.00208,0.00315,0.00507,0.0051,0.00493,0.00581,0.0034,0.00022,0.00405
1,0.00273,0.00303,0.00416,0.00378,0.0015,0.00328,0.00455,0.00683,0.00334,0.00478,0.00507,0.00399,0.00344,0.00197,0.00345,0.00562,0.00404,0.00486,0.00482,0.00092,0.00308,0.003,0.00304,0.00524,0.00493,0.00258,0.00085,0.00339,0.0019,0.00266
0,1e-05,1e-05,3e-05,3e-05,0.0,0.0,1e-05,3e-05,3e-05,3e-05,0.0,2e-05,3e-05,4e-05,1e-05,2e-05,4e-05,1e-05,3e-05,3e-05,0.0,3e-05,3e-05,2e-05,2e-05,4e-05,1e-05,1e-05,4e-05,3e-05
0,1e-05,4e-05,4e-05,0.0,3e-05,1e-05,2e-05,0.0,4e-05,3e-05,4e-05,4e-05,1e-05,2e-05,3e-05,3e-05,0.0,4e-05,4e-05,2e-05,4e-05,3e-05,4e-05,3e-05,1e-05,2e-05,0.0,3e-05,3e-05,4e-05
1,0.00206,0.00102,0.00421,0.00024,0.00115,0.00314,0.00361,0.00103,0.0012,0.00405,0.0006,0.00201,0.00328,0.00137,0.00119,0.00296,0.00069,0.00382,0.00016,0.00057,0.00175,0.00181,0.00225,0.00342,0.00361,0.00298,0.00314,0.0022,0.00096,0.00191
1,0.00531,0.00217,0.00825,0.00424,0.00322,0.0048,0.00851,0.00368,0.004,0.00783,0.00495,0.00357,0.00501,0.00367,0.00217,0.00535,0.00247,0.00616,0.00609,0.00206,0.00099,0.00063,0.00505,0.00535,0.00604,0.00489,0.00575,0.00482,0.00072,0.00324
0,3e-05,2e-05,1e-05,1e-05,4e-05,4e-05,2e-05,2e-05,4e-05,1e-05,4e-05,3e-05,2e-05,1e-05,3e-05,0.0,2e-05,0.0,4e-05,1e-05,4e-05,4e-05,3e-05,3e-05,1e-05,1e-05,2e-05,3e-05,3e-05,3e-05
0,4e-05,2e-05,1e-05,0.0,2e-05,0.0,1e-05,0.0,2e-05,4e-05,0.0,3e-05,2e-05,1e-05,4e-05,4e-05,1e-05,4e-05,1e-05,4e-05,0.0,3e-05,4e-05,3e-05,1e-05,2e-05,3e-05,0.0,0.0,2e-05
0,4e-05,4e-05,3e-05,1e-05,0.0,2e-05,2e-05,4e-05,1e-05,1e-05,4e-05,0.0,1e-05,2e-05,4e-05,2e-05,1e-05,1e-05,4e-05,1e-05,2e-05,2e-05,1e-05,3e-05,0.0,2e-05,2e-05,4e-05,1e-05,3e-05
