n_sim,top_down,n_env,cor,n_active
1,True,1,0.9838747645635355,99
1,True,2,0.7571641541162084,124
1,True,3,0.3383292408745753,157
1,True,4,0.24370555539131394,153
1,True,5,0.1995263111400999,152
1,True,6,0.12360779419319502,139
1,True,7,0.06008381875000216,163
1,True,8,0.031049853349762912,172
1,True,9,0.0339018625618509,125
1,True,10,0.04362098215374773,169
1,True,11,0.03870093707313252,146
1,True,12,-0.0008780757791878494,181
1,True,13,0.002772712311920655,172
1,True,14,-0.0191344055360566,178
1,True,15,0.028975368641979485,182
1,True,16,0.04099094247946554,185
1,True,17,-0.025336268252144807,168
1,True,18,-0.0025828967798677263,146
1,True,19,-0.006897888602257085,154
1,True,20,0.02349149353651671,157
1,True,21,0.0012008213753536272,172
1,False,1,0.879936445689987,106
1,False,2,0.5900464620185525,118
1,False,3,0.3453794564083896,141
1,False,4,0.19882593600675333,130
1,False,5,0.12064602658508652,142
1,False,6,0.04216382785431092,167
1,False,7,0.2879641479044678,96
1,False,8,0.34341073351380497,128
1,False,9,0.21695220104321164,179
1,False,10,0.15159911565475775,167
1,False,11,0.13150835508424913,158
1,False,12,0.28664586536246317,142
1,False,13,0.3151134124906407,153
1,False,14,0.16029746246128615,156
1,False,15,0.3509926671204294,118
1,False,16,0.29070127523473643,124
1,False,17,0.1651260141589791,138
1,False,18,0.20572382894744518,130
1,False,19,0.2093178336536362,121
1,False,20,0.003998728010550609,176
1,False,21,0.015066341265688423,182
2,True,1,0.9828750189486587,99
2,True,2,0.664283164438405,95
2,True,3,0.40492260806101643,143
2,True,4,0.2551818555776603,153
2,True,5,0.08662515003443884,179
2,True,6,0.06387606264135438,178
2,True,7,0.045854138779645316,193
2,True,8,0.05092556826506223,172
2,True,9,0.044254334610481956,170
2,True,10,0.03336914530056461,176
2,True,11,-0.0021115052695297003,168
2,True,12,0.029979837049726548,185
2,True,13,0.028112405602230894,163
2,True,14,0.08708936691324076,113
2,True,15,0.011503113104409737,144
2,True,16,0.0326175064536999,165
2,True,17,0.06221552496706307,142
2,True,18,0.009541383437293938,145
2,True,19,-0.0077185628097220715,156
2,True,20,0.029484161317512452,166
2,True,21,0.01806420456280839,167
2,False,1,0.8161708726739926,98
2,False,2,0.7145020509215664,99
2,False,3,0.6292139665472367,97
2,False,4,0.6412331531706502,87
2,False,5,0.5841586516244845,82
2,False,6,0.1249721533750889,116
2,False,7,0.1968250801725365,138
2,False,8,0.17430050801768493,146
2,False,9,0.20874707553104876,150
2,False,10,0.004087378223018648,167
2,False,11,0.03930911925737287,177
2,False,12,0.05062493059331796,190
2,False,13,0.21135571711240123,132
2,False,14,0.08101793749089213,124
2,False,15,0.19405240303503618,155
2,False,16,0.1708272640459058,129
2,False,17,0.20090877880905578,172
2,False,18,0.09849164498228356,187
2,False,19,0.14064816466379754,189
2,False,20,0.19067223214838297,131
2,False,21,0.15650041779405463,189
3,True,1,0.9744424180133714,104
3,True,2,0.6376789098392063,124
3,True,3,0.45172962134076927,130
3,True,4,0.28993522264904054,166
3,True,5,0.20535448840017412,166
3,True,6,0.11036238232398413,179
3,True,7,0.039035441572098546,152
3,True,8,0.04627609312781679,154
3,True,9,-0.03598269353418679,158
3,True,10,-0.014098574660610642,173
3,True,11,-0.015320291139007684,178
3,True,12,-0.010344086779615912,188
3,True,13,-0.04189331228856327,170
3,True,14,-0.046679846962166406,161
3,True,15,0.06977609651168087,150
3,True,16,0.0010641980379764973,174
3,True,17,-0.0020591072571424112,184
3,True,18,0.0007629534845559237,177
3,True,19,0.01828576938263592,186
3,True,20,0.023421339243173526,176
3,True,21,0.022436992711418902,185
3,False,1,0.8371623578423344,105
3,False,2,0.6559539299669322,105
3,False,3,0.5160298437028821,117
3,False,4,0.40187317420972857,138
3,False,5,0.23603628918600678,117
3,False,6,-0.10998708068649006,156
3,False,7,0.015044251401946335,168
3,False,8,0.11196120791131461,152
3,False,9,0.12151170552461196,187
3,False,10,0.2570606236892062,154
3,False,11,0.2946294788646249,145
3,False,12,0.2754308669796005,141
3,False,13,0.19276901909884256,144
3,False,14,0.2190379919534767,181
3,False,15,0.15516326311697368,183
3,False,16,0.28948517243326,136
3,False,17,0.23828566275902763,150
3,False,18,0.1974945655638236,144
3,False,19,0.2666032132358564,162
3,False,20,0.3523310694600753,142
3,False,21,0.36190429273721214,127
4,True,1,0.9853597478078845,93
4,True,2,0.7307226629912293,122
4,True,3,0.4250735817270252,156
4,True,4,0.39394514872538783,157
4,True,5,0.244341375245024,173
4,True,6,0.19200415561579334,184
4,True,7,0.17125819507008555,186
4,True,8,0.07646603905809639,175
4,True,9,0.0877607807268952,162
4,True,10,0.09452440840422803,167
4,True,11,0.0905483097397274,172
4,True,12,0.10058397102056552,180
4,True,13,0.06669507269460474,185
4,True,14,0.06705045259776993,161
4,True,15,0.032523472092232976,153
4,True,16,0.03401559823880694,153
4,True,17,0.005193800757906225,151
4,True,18,0.02595018749051182,178
4,True,19,-0.01905871144940633,165
4,True,20,0.03663005355980089,158
4,True,21,0.05693907918056573,158
4,False,1,0.8359470581394713,105
4,False,2,0.59909048318272,112
4,False,3,0.5037259238435194,128
4,False,4,0.3623181509808725,103
4,False,5,0.21489349191617854,157
4,False,6,0.2574172489412832,143
4,False,7,0.17661391048563665,178
4,False,8,0.32014247764056597,178
4,False,9,0.0910256216522804,183
4,False,10,0.09149876961638898,196
4,False,11,0.05196647121097515,153
4,False,12,0.06578863180769957,164
4,False,13,0.17947388963713679,159
4,False,14,0.21399511373818214,164
4,False,15,0.21168803896758118,154
4,False,16,0.3642104980826303,146
4,False,17,0.16317147859446693,164
4,False,18,0.14246916728683603,179
4,False,19,0.0965309928424159,181
4,False,20,0.1805881901799707,170
4,False,21,0.325148701912276,172
5,True,1,0.9889831031404177,93
5,True,2,0.5906354178710927,114
5,True,3,0.3289593609991802,154
5,True,4,0.27508483826860214,150
5,True,5,0.10745780423951093,170
5,True,6,-0.03060186135082795,174
5,True,7,-0.008051659904974003,181
5,True,8,-0.0062328403460358535,191
5,True,9,-0.030826497088196517,194
5,True,10,-0.022878693021197893,181
5,True,11,-0.03670118708508465,180
5,True,12,-0.00554955587214148,174
5,True,13,0.054941311566142265,149
5,True,14,-0.0016054626018724486,169
5,True,15,0.046154924788672794,173
5,True,16,-0.01579610077861634,145
5,True,17,-0.03946244323804845,159
5,True,18,-0.05748276217535948,153
5,True,19,-0.035808010162947906,178
5,True,20,-0.03476653995252978,173
5,True,21,0.013537981027243948,179
5,False,1,0.8573162997075706,104
5,False,2,0.5922340327250525,105
5,False,3,0.45225829661783856,109
5,False,4,0.4456660794943286,129
5,False,5,0.43818825176268744,134
5,False,6,0.3216562502092912,111
5,False,7,0.339176489993121,121
5,False,8,0.36391002554626406,126
5,False,9,0.34595369741792276,145
5,False,10,0.33292676416474287,148
5,False,11,0.27241404223369925,171
5,False,12,0.2999530545703569,183
5,False,13,0.25523533904791673,180
5,False,14,0.2577792606518667,142
5,False,15,0.20878843147047269,148
5,False,16,0.20101632706166944,163
5,False,17,0.2544404323241081,124
5,False,18,0.30788767766627917,129
5,False,19,0.38507404406180495,150
5,False,20,0.2566724634528051,150
5,False,21,0.34673190082578115,136
6,True,1,0.9801649648023238,94
6,True,2,0.6081638695863122,119
6,True,3,0.46713240222205654,156
6,True,4,0.2801294716336184,178
6,True,5,0.26204812812982686,186
6,True,6,0.14725942878735604,195
6,True,7,0.05602102009090941,197
6,True,8,0.029332873994559656,188
6,True,9,0.04154658867375864,170
6,True,10,0.09326750344563994,188
6,True,11,0.06598107288280874,195
6,True,12,0.027563326910292098,172
6,True,13,0.02074494493488237,168
6,True,14,0.05084905389189905,174
6,True,15,0.06303297466061873,179
6,True,16,0.03935046664370455,170
6,True,17,0.06577643861638392,128
6,True,18,0.04941762198438159,159
6,True,19,0.04920302143517775,185
6,True,20,0.04324663080573409,185
6,True,21,0.053123693226383176,169
6,False,1,0.8664327739951625,94
6,False,2,0.6306018215405018,116
6,False,3,0.585007456578105,135
6,False,4,0.4480731827169382,157
6,False,5,0.42238095659363706,152
6,False,6,0.3046791216456854,168
6,False,7,0.16414139653486323,189
6,False,8,0.1722338367634418,165
6,False,9,0.23171551801600024,153
6,False,10,0.06539474385885984,164
6,False,11,0.02047745103693962,166
6,False,12,0.09609780738615463,137
6,False,13,0.008197005390193562,157
6,False,14,0.12734744847895482,154
6,False,15,0.18400318588980769,182
6,False,16,0.24273344464486485,183
6,False,17,0.1342383110469668,180
6,False,18,0.22615488537066006,173
6,False,19,0.13410878444856045,191
6,False,20,0.09005576757573762,164
6,False,21,0.11096405403159029,138
7,True,1,0.9838196203463796,99
7,True,2,0.547284569305251,126
7,True,3,0.49510263862419207,128
7,True,4,0.17567311935165358,176
7,True,5,0.17371330292083279,155
7,True,6,0.1701751937587428,145
7,True,7,0.1461097263723599,146
7,True,8,0.14421939693529526,148
7,True,9,0.11596059138505402,161
7,True,10,0.07164117257395686,164
7,True,11,0.07240031364401875,162
7,True,12,-0.029762334854671776,182
7,True,13,0.0048976204251034135,167
7,True,14,0.07766646349100782,149
7,True,15,0.015435883692547168,165
7,True,16,0.06801111842851312,167
7,True,17,-0.01700486146929318,172
7,True,18,0.010479001092095302,170
7,True,19,0.02419034585127446,181
7,True,20,0.016084883640068152,157
7,True,21,-0.0010079278041907795,155
7,False,1,0.8475311935914366,100
7,False,2,0.686439361440007,100
7,False,3,0.5342983515272011,109
7,False,4,0.4867927756199073,106
7,False,5,0.4402278494044877,107
7,False,6,0.33218713067376365,114
7,False,7,0.2122697678322466,88
7,False,8,0.25985386005386474,119
7,False,9,-0.019589222560769413,64
7,False,10,0.11831014566406457,161
7,False,11,0.2076252030597561,170
7,False,12,0.31512736720702345,143
7,False,13,0.29761132176094807,153
7,False,14,-0.005225652604933697,193
7,False,15,0.3127412577221678,148
7,False,16,0.38875296638748547,157
7,False,17,0.334636129924868,157
7,False,18,0.2169381226977224,142
7,False,19,0.3094680689039939,147
7,False,20,0.29204541479100565,166
7,False,21,0.16936520976054797,190
8,True,1,0.973038560007742,98
8,True,2,0.5417071771666739,121
8,True,3,0.27932428877556903,156
8,True,4,0.1224134681850357,179
8,True,5,0.10579763707313135,168
8,True,6,0.09956268227570302,181
8,True,7,0.0968557150099192,174
8,True,8,0.06444177075395904,136
8,True,9,0.058327631484990664,158
8,True,10,0.0019974160252006607,166
8,True,11,0.01890220788929627,153
8,True,12,-0.008497573928840036,153
8,True,13,-0.008005551333413264,121
8,True,14,-0.007627470332614131,138
8,True,15,0.008492511975670863,159
8,True,16,-0.017080294379872626,158
8,True,17,-0.0033277945364405545,147
8,True,18,0.04112682506241412,154
8,True,19,0.014855011249990396,170
8,True,20,-0.05061219218711272,160
8,True,21,-0.04932518643455559,183
8,False,1,0.807669947653269,104
8,False,2,0.6812825784625209,103
8,False,3,0.6154130508029181,105
8,False,4,0.43406191059659976,114
8,False,5,0.1317120210494222,154
8,False,6,0.2055999611253948,152
8,False,7,0.17263303950105172,176
8,False,8,0.11968359889685944,150
8,False,9,0.07144955221053949,178
8,False,10,0.10870289121160868,169
8,False,11,-0.00012696319145217273,142
8,False,12,0.25722106491023855,126
8,False,13,0.24596908204016943,140
8,False,14,0.10163983060972401,165
8,False,15,0.1213674418092617,181
8,False,16,0.15904594292286886,163
8,False,17,0.2627762491507028,154
8,False,18,0.2128777517330819,163
8,False,19,0.36064517681330116,152
8,False,20,0.16684981653806713,161
8,False,21,0.1914522016408446,155
9,True,1,0.9846313590982763,95
9,True,2,0.8006573055196693,91
9,True,3,0.5624881512925984,103
9,True,4,0.31832237430758836,118
9,True,5,0.20994951927545336,144
9,True,6,0.14713534691773272,172
9,True,7,0.10355023409123745,188
9,True,8,0.06601893956992355,150
9,True,9,0.02846239184039719,162
9,True,10,0.027218745032117533,182
9,True,11,0.020457603654050378,184
9,True,12,0.05138293190219881,176
9,True,13,0.05150606569099539,182
9,True,14,0.06856193759063248,167
9,True,15,0.048885533388107076,173
9,True,16,0.02543030303874495,174
9,True,17,0.06317564873788953,173
9,True,18,-0.023738102114615477,177
9,True,19,-0.04607280903289657,188
9,True,20,-0.007054001094658453,190
9,True,21,-0.02311332454428887,173
9,False,1,0.8371801026044526,106
9,False,2,0.6179263873458172,114
9,False,3,0.42019967013165077,137
9,False,4,0.3974075494848867,127
9,False,5,0.21254429742769373,136
9,False,6,0.2306309850562569,145
9,False,7,0.365472340806475,148
9,False,8,0.36024166060285145,116
9,False,9,0.28089307645725103,125
9,False,10,0.37712975973305074,128
9,False,11,0.10862941490062648,149
9,False,12,0.0503482818329146,174
9,False,13,0.2697743204405618,163
9,False,14,0.27042308272302723,153
9,False,15,0.20845948815192028,179
9,False,16,0.29985163823921807,146
9,False,17,0.24729548702380663,109
9,False,18,0.32472603021394614,131
9,False,19,0.24761295152384769,143
9,False,20,0.26514153104537863,135
9,False,21,0.3250543884197076,163
10,True,1,0.9855828143798331,101
10,True,2,0.7883685253559075,125
10,True,3,0.480720808994843,156
10,True,4,0.3006804240311917,170
10,True,5,0.19079000096639032,168
10,True,6,0.14227283726432843,171
10,True,7,0.05265750973010647,162
10,True,8,0.036600524351390266,158
10,True,9,-0.026281133089825458,149
10,True,10,0.027531597064906845,169
10,True,11,0.0562821940931636,161
10,True,12,0.06202834170677287,177
10,True,13,0.06648569027992651,189
10,True,14,0.0015728969277570258,191
10,True,15,0.025296125104623784,165
10,True,16,0.03070969507245338,177
10,True,17,-0.016686957222650484,152
10,True,18,-0.050529900410560886,169
10,True,19,-0.019205687021133597,161
10,True,20,-0.007061303496386512,179
10,True,21,0.02610267390853934,160
10,False,1,0.7637649091937921,105
10,False,2,0.6302673870430542,116
10,False,3,0.5668303029577871,127
10,False,4,0.4587346790367017,117
10,False,5,0.4520063091480313,143
10,False,6,0.412091724841298,169
10,False,7,0.3262827417297742,162
10,False,8,0.3294157361370359,192
10,False,9,0.26188005364465594,149
10,False,10,0.16178506412734542,132
10,False,11,0.19983086898277033,161
10,False,12,0.14499570352951371,165
10,False,13,0.23434486379256653,136
10,False,14,0.14381138257755194,159
10,False,15,0.304475393146102,121
10,False,16,0.28171407922015484,98
10,False,17,0.14515138059955218,141
10,False,18,0.20617073705509298,160
10,False,19,0.21769780393402152,177
10,False,20,0.27011763690557034,140
10,False,21,0.18261569629386812,141
